station_name X Y Z dish_dia el_low el_high SEFD altitude
dsa-143 -2403106.5996622206 -4478622.797397841 3842359.6932660104 5.0 15.0 85.0 110.0 5000.0
dsa-144 -2403792.2414709968 -4478146.981045495 3842483.554327409 5.0 15.0 85.0 110.0 5000.0
dsa-145 -2403752.3378031426 -4478100.563151651 3842562.202854648 5.0 15.0 85.0 110.0 5000.0
dsa-146 -2404310.1658252724 -4478257.346287621 3842032.860309758 5.0 15.0 85.0 110.0 5000.0
dsa-147 -2403651.2517366935 -4478401.227982839 3842276.8889349983 5.0 15.0 85.0 110.0 5000.0
dsa-148 -2404006.5844768095 -4478314.067593114 3842156.377673095 5.0 15.0 85.0 110.0 5000.0
dsa-149 -2404117.338729824 -4478239.451495424 3842173.7853924497 5.0 15.0 85.0 110.0 5000.0
dsa-150 -2403757.1774850385 -4478672.923661488 3841896.100617532 5.0 15.0 85.0 110.0 5000.0
dsa-151 -2403311.341662825 -4478825.731794542 3841996.9710474885 5.0 15.0 85.0 110.0 5000.0
dsa-152 -2403084.1702403096 -4478863.037355952 3842095.353599702 5.0 15.0 85.0 110.0 5000.0
dsa-153 -2403249.7816537116 -4479276.261773738 3841513.399264768 5.0 15.0 85.0 110.0 5000.0
dsa-154 -2405867.3173752003 -4479141.745871554 3840037.6641456457 5.0 15.0 85.0 110.0 5000.0
dsa-155 -2405853.5275586983 -4479013.4463444995 3840194.895994745 5.0 15.0 85.0 110.0 5000.0
dsa-156 -2405591.508468146 -4478871.001142818 3840523.2430500183 5.0 15.0 85.0 110.0 5000.0
dsa-157 -2405115.0418295534 -4479286.49166716 3840338.8861507247 5.0 15.0 85.0 110.0 5000.0
dsa-158 -2405755.168448212 -4478817.020380475 3840483.767104495 5.0 15.0 85.0 110.0 5000.0
dsa-159 -2404323.047821558 -4479140.711608275 3841001.4428269854 5.0 15.0 85.0 110.0 5000.0
dsa-160 -2404840.275996475 -4479166.5003659 3840649.165483258 5.0 15.0 85.0 110.0 5000.0
dsa-161 -2404846.1915201177 -4478914.748458167 3840937.135373066 5.0 15.0 85.0 110.0 5000.0
dsa-162 -2404996.6014443077 -4479129.233074386 3840594.898600538 5.0 15.0 85.0 110.0 5000.0
dsa-163 -2405266.214455994 -4478869.302949098 3840727.9740321958 5.0 15.0 85.0 110.0 5000.0
dsa-164 -2404953.233884816 -4478831.770861805 3840966.543684317 5.0 15.0 85.0 110.0 5000.0
dsa-165 -2404749.4149306314 -4478796.183942398 3841134.8167694192 5.0 15.0 85.0 110.0 5000.0
dsa-166 -2404349.989052319 -4478918.808730097 3841241.7264779657 5.0 15.0 85.0 110.0 5000.0
dsa-167 -2404192.3358299257 -4478878.001955407 3841387.2706045597 5.0 15.0 85.0 110.0 5000.0
dsa-168 -2403984.3848102586 -4479095.373354473 3841265.0644880775 5.0 15.0 85.0 110.0 5000.0
dsa-169 -2405083.6057497086 -4478649.961621734 3841095.9076324627 5.0 15.0 85.0 110.0 5000.0
dsa-170 -2404915.204811268 -4478631.303531148 3841222.4915911257 5.0 15.0 85.0 110.0 5000.0
dsa-171 -2404262.78783163 -4478741.544127807 3841501.443970805 5.0 15.0 85.0 110.0 5000.0
dsa-172 -2404571.5476394887 -4478492.883572307 3841597.0623470927 5.0 15.0 85.0 110.0 5000.0
dsa-173 -2404482.52335523 -4478422.914186757 3841733.6135855885 5.0 15.0 85.0 110.0 5000.0
dsa-174 -2404086.6036265567 -4478552.315164693 3841830.4875402693 5.0 15.0 85.0 110.0 5000.0
dsa-175 -2403597.606502891 -4478737.406295595 3841920.8612653636 5.0 15.0 85.0 110.0 5000.0
dsa-176 -2403555.6055254377 -4478846.593154236 3841820.547387628 5.0 15.0 85.0 110.0 5000.0
dsa-177 -2403739.3105770433 -4479034.0577652585 3841488.859913111 5.0 15.0 85.0 110.0 5000.0
dsa-178 -2403477.085574555 -4479064.465788831 3841617.083076221 5.0 15.0 85.0 110.0 5000.0
dsa-179 -2403592.1146184793 -4479231.641762848 3841351.7076094425 5.0 15.0 85.0 110.0 5000.0
dsa-180 -2403484.2280182755 -4479396.330429867 3841228.162413474 5.0 15.0 85.0 110.0 5000.0
dsa-181 -2403784.622782395 -4479436.155802602 3840994.7810037844 5.0 15.0 85.0 110.0 5000.0
dsa-182 -2404348.176286762 -4479428.883452927 3840651.9295977335 5.0 15.0 85.0 110.0 5000.0
dsa-183 -2403913.890038012 -4479526.207020823 3840809.8803401454 5.0 15.0 85.0 110.0 5000.0
dsa-184 -2405119.6699049226 -4479280.292157297 3840343.183555707 5.0 15.0 85.0 110.0 5000.0
dsa-185 -2404880.5575736715 -4479295.919284628 3840474.12385367 5.0 15.0 85.0 110.0 5000.0
dsa-186 -2404674.688472094 -4479484.104566395 3840384.4324449436 5.0 15.0 85.0 110.0 5000.0
dsa-187 -2404453.0604821076 -4479335.554622502 3840694.6751593174 5.0 15.0 85.0 110.0 5000.0
dsa-188 -2404212.672318267 -4479351.967842779 3840825.5000177426 5.0 15.0 85.0 110.0 5000.0
dsa-189 -2404693.923892036 -4479535.161297599 3840313.292794496 5.0 15.0 85.0 110.0 5000.0
dsa-190 -2404786.167250177 -4479595.465876612 3840185.931807501 5.0 15.0 85.0 110.0 5000.0
dsa-191 -2405447.9510111623 -4479163.663485744 3840273.673538026 5.0 15.0 85.0 110.0 5000.0
dsa-192 -2405160.999530879 -4479437.914124378 3840134.8151299995 5.0 15.0 85.0 110.0 5000.0
dsa-193 -2405667.616029895 -4479134.892233429 3840170.0828234223 5.0 15.0 85.0 110.0 5000.0
dsa-194 -2404472.7938527 -4479780.373116742 3840167.0480655385 5.0 15.0 85.0 110.0 5000.0
dsa-195 -2404423.9975374145 -4479891.019933447 3840069.278509389 5.0 15.0 85.0 110.0 5000.0
dsa-196 -2405055.4427685095 -4480002.050188362 3839547.0537657486 5.0 15.0 85.0 110.0 5000.0
dsa-197 -2405223.214470622 -4479643.234698479 3839858.169056651 5.0 15.0 85.0 110.0 5000.0
dsa-198 -2404797.350387113 -4479933.377350822 3839787.487164652 5.0 15.0 85.0 110.0 5000.0
dsa-199 -2405376.057624713 -4479921.975890473 3839439.9736882593 5.0 15.0 85.0 110.0 5000.0
dsa-200 -2405694.4641802395 -4479564.211579608 3839655.97683843 5.0 15.0 85.0 110.0 5000.0
dsa-201 -2405924.6555488664 -4479386.473279172 3839718.4046557085 5.0 15.0 85.0 110.0 5000.0
dsa-202 -2405742.1336556827 -4479320.086854066 3839909.084313403 5.0 15.0 85.0 110.0 5000.0
dsa-203 -2406074.7437926866 -4479197.412011265 3839843.8804580583 5.0 15.0 85.0 110.0 5000.0
dsa-204 -2403565.920389515 -4479213.203279517 3841389.3962773085 5.0 15.0 85.0 110.0 5000.0
dsa-205 -2403210.869388957 -4479401.0413202625 3841393.0958283413 5.0 15.0 85.0 110.0 5000.0
dsa-206 -2403777.5109220524 -4479727.025506458 3840662.238449745 5.0 15.0 85.0 110.0 5000.0
dsa-207 -2403122.892079879 -4479827.25791266 3840954.157895212 5.0 15.0 85.0 110.0 5000.0
dsa-208 -2403799.215372342 -4479837.167649941 3840521.1087343283 5.0 15.0 85.0 110.0 5000.0
dsa-209 -2403597.552147276 -4480278.153768519 3840135.9233277007 5.0 15.0 85.0 110.0 5000.0
dsa-210 -2403437.52589693 -4480315.705954655 3840192.1669565737 5.0 15.0 85.0 110.0 5000.0
dsa-211 -2403594.0892829965 -4479949.846619013 3840518.429029207 5.0 15.0 85.0 110.0 5000.0
dsa-212 -2403556.841624963 -4479995.267119796 3840489.0262752185 5.0 15.0 85.0 110.0 5000.0
dsa-213 -2404104.9232011675 -4479737.320725109 3840446.2273587105 5.0 15.0 85.0 110.0 5000.0
dsa-214 -2403672.436325237 -4480174.143922274 3840209.742690884 5.0 15.0 85.0 110.0 5000.0
dsa-215 -2403985.3960179496 -4480170.998380852 3840018.3115047053 5.0 15.0 85.0 110.0 5000.0
dsa-216 -2404034.868917951 -4480401.590549403 3839720.330449704 5.0 15.0 85.0 110.0 5000.0
dsa-217 -2404426.5173325916 -4480370.759540327 3839511.92458382 5.0 15.0 85.0 110.0 5000.0
dsa-218 -2403634.922139546 -4480692.337751381 3839632.793299055 5.0 15.0 85.0 110.0 5000.0
dsa-219 -2404202.6402949262 -4480014.035105807 3840064.7414757065 5.0 15.0 85.0 110.0 5000.0
dsa-220 -2404246.7171300584 -4479972.170796021 3840085.7675549127 5.0 15.0 85.0 110.0 5000.0
dsa-221 -2404487.1574057266 -4480349.367579881 3839498.908969504 5.0 15.0 85.0 110.0 5000.0
